rows,text,date,number,type
1,1,0,3,bar
4,2,0,3,bar
1,1,0,3,bar
1,1,0,3,bar
1,1,0,3,bar
1,1,0,3,bar
1,1,0,2,bar
6,2,0,0,pie
1,1,0,7,columnPacked
6,2,0,3,column
20,1,0,1,bar
1,1,0,6,column
60,0,0,2,line
7,1,0,1,columnPacked
21,1,0,2,pyramid
21,1,0,2,pyramid
2,0,0,5,barPacked
67,3,0,4,line
3,1,0,3,column
3,1,0,2,column
7,1,0,7,barStacked
4,1,0,7,spline
16,1,0,6,columnStacked
10,1,0,6,line
11,1,0,2,dualAxis
4,2,0,3,bar
280,0,1,1,line
79,0,1,1,column
88,0,1,1,stockColumn
62,0,1,1,stockLine
10,1,0,1,grid
8,3,0,0,grid
16,1,0,2,grid
443,0,1,1,stockColumn
2,1,0,0,bar
63,0,1,6,stockLine
1169,0,0,8,spline
4,1,0,31,line
6,1,0,2,pie
11,1,0,0,grid
52,2,1,16,stockLine
54,0,1,4,stockLine
17,2,0,1,grid
6,4,0,0,grid
316,0,1,2,stockLine
282,0,1,1,stockLine
31,0,0,0,area
25,2,0,0,column
30,0,1,0,stockLine
14,1,0,1,area
4,1,0,4,column
5,1,0,1,line
1,1,0,12,barStacked
4,1,0,2,column
65,1,0,3,line
189,0,1,1,stockLine
4,1,0,4,column
4,2,0,1,grid
6,1,0,3,columnStacked
47,0,0,0,stockArea
4,1,0,0,column
3,1,0,4,pie
120,0,0,2,line
12,1,0,2,column
40,2,0,1,barStacked
1,1,0,3,bar
1,1,0,3,bar
1,1,0,2,bar
1,1,0,2,bar
1,1,0,2,bar
1,1,0,2,bar
1,1,0,2,bar
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
2,1,0,7,column
5,2,0,2,column
4,1,0,2,columnPacked
5,0,0,4,column
14,4,0,2,bar
34,1,0,2,dualAxis
3,1,0,2,columnStacked
30,1,0,5,barStacked
8,3,0,0,grid
45,1,0,8,line
6,5,0,0,grid
13,1,0,1,columnPacked
3,1,0,2,column
10,3,0,0,grid
55,0,0,3,line
15,0,0,4,line
5,1,0,2,columnStacked
2,1,0,4,pie
6,0,0,1,line
6,1,0,0,column
6,1,0,2,columnPacked
3,1,0,3,columnPacked
10,1,0,1,columnPacked
43,1,0,3,columnPacked
2,1,0,0,pie
4,1,0,1,pie
5,1,0,1,columnPacked
12,2,0,1,barPacked
6,1,0,4,columnStacked
3,4,0,0,grid
5,1,0,1,columnPacked
